
2023/07/08 (16:40:51) | ===> btop++ v.1.2.13
2023/07/08 (16:40:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (16:41:11) | ===> btop++ v.1.2.13
2023/07/08 (16:41:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (16:41:16) | ===> btop++ v.1.2.13
2023/07/08 (16:41:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (16:41:17) | ===> btop++ v.1.2.13
2023/07/08 (16:41:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (16:41:20) | ===> btop++ v.1.2.13
2023/07/08 (16:41:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (17:47:04) | ===> btop++ v.1.2.13
2023/07/08 (17:47:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (17:52:01) | ===> btop++ v.1.2.13
2023/07/08 (17:52:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (17:52:47) | ===> btop++ v.1.2.13
2023/07/08 (17:52:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (17:55:07) | ===> btop++ v.1.2.13
2023/07/08 (17:55:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (18:12:23) | ===> btop++ v.1.2.13
2023/07/08 (18:12:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (10:03:13) | ===> btop++ v.1.2.13
2023/07/09 (10:03:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:32:33) | ===> btop++ v.1.2.13
2023/07/09 (11:32:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:33:11) | ===> btop++ v.1.2.13
2023/07/09 (11:33:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:33:42) | ===> btop++ v.1.2.13
2023/07/09 (11:33:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:34:26) | ===> btop++ v.1.2.13
2023/07/09 (11:34:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:45:10) | ===> btop++ v.1.2.13
2023/07/09 (11:45:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (11:45:18) | ===> btop++ v.1.2.13
2023/07/09 (11:45:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:02:16) | ===> btop++ v.1.2.13
2023/07/09 (12:02:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:02:28) | ===> btop++ v.1.2.13
2023/07/09 (12:02:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:05:33) | ===> btop++ v.1.2.13
2023/07/09 (12:05:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:05:58) | ===> btop++ v.1.2.13
2023/07/09 (12:05:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:06:19) | ===> btop++ v.1.2.13
2023/07/09 (12:06:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:13:40) | ===> btop++ v.1.2.13
2023/07/09 (12:13:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:22:36) | ===> btop++ v.1.2.13
2023/07/09 (12:22:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (12:40:16) | ===> btop++ v.1.2.13
2023/07/09 (12:40:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/11 (19:31:39) | ===> btop++ v.1.2.13
2023/07/11 (19:31:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/19 (18:29:40) | ===> btop++ v.1.2.13
2023/07/19 (18:29:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/19 (18:42:22) | ===> btop++ v.1.2.13
2023/07/19 (18:42:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/20 (16:53:50) | ===> btop++ v.1.2.13
2023/07/20 (16:53:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/13 (14:26:31) | ===> btop++ v.1.2.13
2023/09/13 (14:26:31) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/13 (14:29:02) | ===> btop++ v.1.2.13
2023/09/13 (14:29:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/19 (15:04:32) | ===> btop++ v.1.2.13
2023/09/19 (15:04:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:30:57) | ===> btop++ v.1.2.13
2023/10/23 (12:30:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:33:47) | ===> btop++ v.1.2.13
2023/10/23 (12:33:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:34:10) | ===> btop++ v.1.2.13
2023/10/23 (12:34:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:34:28) | ===> btop++ v.1.2.13
2023/10/23 (12:34:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:35:28) | ===> btop++ v.1.2.13
2023/10/23 (12:35:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
